asda

(h, sum) 	 ('23A9T', 634)
(h, sum) 	 ('T6Q45', 2046828)
(h, sum) 	 ('T8675', 2133678)
(h, sum) 	 ('T9Q84', 2169168)
(h, sum) 	 ('TQ72A', 2234488)
(h, sum) 	 ('TQ839', 2239231)
(h, sum) 	 ('TK2A7', 2320447)
(h, sum) 	 ('Q2K48', 2371082)
(h, sum) 	 ('Q39A2', 2398634)
(h, sum) 	 ('Q3A52', 2428122)
(h, sum) 	 ('Q7286', 2473202)
(h, sum) 	 ('Q76K2', 2488745)
(h, sum) 	 ('Q8647', 2498345)
(h, sum) 	 ('Q9A58', 2570156)
(h, sum) 	 ('QK32T', 2589536)
(h, sum) 	 ('QA4K2', 2614359)
(h, sum) 	 ('K43AT', 2648471)
(h, sum) 	 ('K596A', 2669786)
(h, sum) 	 ('K6479', 2673602)
(h, sum) 	 ('K752T', 2700673)
(h, sum) 	 ('K87T5', 2746573)
(h, sum) 	 ('K96AQ', 2801291)
(h, sum) 	 ('K9T72', 2807011)
(h, sum) 	 ('KT5A9', 2831542)
(h, sum) 	 ('A3QT5', 2848790)
(h, sum) 	 ('A4925', 2907663)
(h, sum) 	 ('A52T4', 2996241)
(h, sum) 	 ('A5736', 3003601)
(h, sum) 	 ('A58T2', 3107769)
(h, sum) 	 ('A63K8', 3147081)
(h, sum) 	 ('A6745', 3189915)
(h, sum) 	 ('A8629', 3301894)
(h, sum) 	 ('A935K', 3331534)
(h, sum) 	 ('AT94K', 3366866)
(h, sum) 	 ('AQ45K', 3468858)
(h, sum) 	 ('AQ785', 3555450)
(h, sum) 	 ('J258Q', 3585086)
(h, sum) 	 ('J28K6', 3620711)
(h, sum) 	 ('J2TK3', 3731717)
(h, sum) 	 ('J2K58', 3760546)
(h, sum) 	 ('J4T85', 3783842)
(h, sum) 	 ('J4TKQ', 3854534)
(h, sum) 	 ('J5A9T', 3913554)
(h, sum) 	 ('J6937', 3999883)
(h, sum) 	 ('J6TA8', 4090831)
(h, sum) 	 ('J765T', 4155602)
(h, sum) 	 ('J8243', 4205852)
(h, sum) 	 ('J84AK', 4285502)
(h, sum) 	 ('J876Q', 4335550)
(h, sum) 	 ('JA587', 4440903)
(h, sum) 	 ('2J36T', 4494171)
(h, sum) 	 ('22795', 4581463)
(h, sum) 	 ('23QJ8', 4588043)
(h, sum) 	 ('2676T', 4598195)
(h, sum) 	 ('27TTA', 4664935)
(h, sum) 	 ('28A5A', 4719847)
(h, sum) 	 ('2Q3J9', 4728631)
(h, sum) 	 ('2Q54Q', 4773726)
(h, sum) 	 ('2K279', 4807452)
(h, sum) 	 ('2K7TJ', 4827885)
(h, sum) 	 ('2A257', 4892709)
(h, sum) 	 ('2A56J', 4899563)
(h, sum) 	 ('3J27A', 4984163)
(h, sum) 	 ('3J589', 5027651)
(h, sum) 	 ('3J67K', 5044523)
(h, sum) 	 ('3362T', 5128214)
(h, sum) 	 ('372K3', 5160862)
(h, sum) 	 ('39522', 5301602)
(h, sum) 	 ('397J5', 5324534)
(h, sum) 	 ('399Q2', 5387177)
(h, sum) 	 ('39T89', 5495565)
(h, sum) 	 ('39QKQ', 5545809)
(h, sum) 	 ('3TJ56', 5684849)
(h, sum) 	 ('3QA3K', 5724777)
(h, sum) 	 ('3QA43', 5726235)
(h, sum) 	 ('3K359', 5888094)
(h, sum) 	 ('3K688', 5986494)
(h, sum) 	 ('3K9J4', 6079224)
(h, sum) 	 ('3K9K7', 6217170)
(h, sum) 	 ('3AT53', 6332901)
(h, sum) 	 ('4JATK', 6450837)
(h, sum) 	 ('43JT6', 6594656)
(h, sum) 	 ('4373A', 6610806)
(h, sum) 	 ('44T27', 6658344)
(h, sum) 	 ('44K9Q', 6788720)
(h, sum) 	 ('46828', 6835257)
(h, sum) 	 ('46K62', 6946965)
(h, sum) 	 ('46KK3', 7095715)
(h, sum) 	 ('47AA3', 7180547)
(h, sum) 	 ('4942T', 7308872)
(h, sum) 	 ('49A6J', 7461240)
(h, sum) 	 ('4TTA9', 7470906)
(h, sum) 	 ('4K9KT', 7631826)
(h, sum) 	 ('5J274', 7655899)
(h, sum) 	 ('5J2A4', 7663907)
(h, sum) 	 ('52589', 7669946)
(h, sum) 	 ('5288T', 7847322)
(h, sum) 	 ('52TJ7', 8025107)
(h, sum) 	 ('5343A', 8154191)
(h, sum) 	 ('537J2', 8332776)
(h, sum) 	 ('5576T', 8466820)
(h, sum) 	 ('56J8T', 8515582)
(h, sum) 	 ('57874', 8518052)
(h, sum) 	 ('59JA4', 8552432)
(h, sum) 	 ('59794', 8645744)
(h, sum) 	 ('5KJT2', 8716961)
(h, sum) 	 ('5KTK9', 8897575)
(h, sum) 	 ('5A578', 8933845)
(h, sum) 	 ('6J85Q', 9090253)
(h, sum) 	 ('636K5', 9237412)
(h, sum) 	 ('63T34', 9331660)
(h, sum) 	 ('63T5T', 9419220)
(h, sum) 	 ('65698', 9485220)
(h, sum) 	 ('65T99', 9671145)
(h, sum) 	 ('66AT9', 9808707)
(h, sum) 	 ('6747Q', 9967047)
(h, sum) 	 ('67794', 10070067)
(h, sum) 	 ('67992', 10135872)
(h, sum) 	 ('6936K', 10272656)
(h, sum) 	 ('6977Q', 10440947)
(h, sum) 	 ('6T52J', 10512915)
(h, sum) 	 ('6TQJ4', 10637270)
(h, sum) 	 ('6TA22', 10711400)
(h, sum) 	 ('6TAQT', 10813313)
(h, sum) 	 ('6Q3QT', 10830061)
(h, sum) 	 ('6A8J3', 11010472)
(h, sum) 	 ('72758', 11049206)
(h, sum) 	 ('73669', 11213036)
(h, sum) 	 ('737T4', 11314988)
(h, sum) 	 ('737T9', 11340160)
(h, sum) 	 ('7478K', 11530910)
(h, sum) 	 ('74AJQ', 11553467)
(h, sum) 	 ('7533A', 11580087)
(h, sum) 	 ('768TJ', 11744290)
(h, sum) 	 ('7736T', 11875492)
(h, sum) 	 ('78355', 12094255)
(h, sum) 	 ('78K3K', 12118223)
(h, sum) 	 ('7T476', 12286748)
(h, sum) 	 ('7T6T5', 12286974)
(h, sum) 	 ('7TT24', 12358933)
(h, sum) 	 ('7Q784', 12440785)
(h, sum) 	 ('7A79Q', 12592612)
(h, sum) 	 ('8JAQ4', 12683922)
(h, sum) 	 ('82276', 12879117)
(h, sum) 	 ('832QQ', 12942917)
(h, sum) 	 ('8346J', 13061281)
(h, sum) 	 ('83K6K', 13133821)
(h, sum) 	 ('83AAT', 13158731)
(h, sum) 	 ('843J9', 13392371)
(h, sum) 	 ('8453J', 13475084)
(h, sum) 	 ('84665', 13572902)
(h, sum) 	 ('849TJ', 13770794)
(h, sum) 	 ('86JQ2', 13874714)
(h, sum) 	 ('875K8', 14015940)
(h, sum) 	 ('87627', 14076440)
(h, sum) 	 ('88234', 14256260)
(h, sum) 	 ('882T3', 14333120)
(h, sum) 	 ('88592', 14493840)
(h, sum) 	 ('8864K', 14644638)
(h, sum) 	 ('8955A', 14738745)
(h, sum) 	 ('8T3Q8', 14894241)
(h, sum) 	 ('8T3KJ', 15122823)
(h, sum) 	 ('8QT82', 15329323)
(h, sum) 	 ('8KT6T', 15526107)
(h, sum) 	 ('9J567', 15729975)
(h, sum) 	 ('9JT67', 15730734)
(h, sum) 	 ('92276', 15851892)
(h, sum) 	 ('93JQK', 15855717)
(h, sum) 	 ('93TJ7', 16061797)
(h, sum) 	 ('95KJ4', 16186185)
(h, sum) 	 ('963J5', 16205793)
(h, sum) 	 ('96K93', 16448476)
(h, sum) 	 ('977A3', 16615136)
(h, sum) 	 ('98T85', 16771475)
(h, sum) 	 ('9T78T', 16816539)
(h, sum) 	 ('9KT59', 16968290)
(h, sum) 	 ('TJ8Q2', 17187146)
(h, sum) 	 ('T2AJ6', 17425911)
(h, sum) 	 ('T2AA4', 17527523)
(h, sum) 	 ('T4J9Q', 17579054)
(h, sum) 	 ('T5J34', 17692418)
(h, sum) 	 ('T5363', 17712593)
(h, sum) 	 ('T5795', 17784143)
(h, sum) 	 ('T5A45', 17876554)
(h, sum) 	 ('T6Q36', 18090890)
(h, sum) 	 ('T6KK2', 18188351)
(h, sum) 	 ('T74K7', 18407277)
(h, sum) 	 ('T9QT5', 18653952)
(h, sum) 	 ('TQJ38', 18719364)
(h, sum) 	 ('TQ898', 18984730)
(h, sum) 	 ('TKT72', 19152642)
(h, sum) 	 ('TKT78', 19304697)
(h, sum) 	 ('TAA58', 19346417)
(h, sum) 	 ('TAA68', 19483545)
(h, sum) 	 ('QJ875', 19753419)
(h, sum) 	 ('Q4223', 19838885)
(h, sum) 	 ('Q4T94', 19965265)
(h, sum) 	 ('Q5KJ2', 20171320)
(h, sum) 	 ('Q62AJ', 20278284)
(h, sum) 	 ('Q722T', 20366106)
(h, sum) 	 ('Q7644', 20495418)
(h, sum) 	 ('Q928J', 20720260)
(h, sum) 	 ('Q956Q', 20924710)
(h, sum) 	 ('Q97KK', 21159838)
(h, sum) 	 ('QTJ86', 21430814)
(h, sum) 	 ('QT994', 21585518)
(h, sum) 	 ('QTQ39', 21847178)
(h, sum) 	 ('QQA6K', 22038633)
(h, sum) 	 ('QK662', 22223041)
(h, sum) 	 ('QAKA2', 22326991)
(h, sum) 	 ('K2J98', 22330269)
(h, sum) 	 ('K24Q2', 22561695)
(h, sum) 	 ('K3JA4', 22671195)
(h, sum) 	 ('K4663', 22910189)
(h, sum) 	 ('K4TTQ', 23067229)
(h, sum) 	 ('K556Q', 23189641)
(h, sum) 	 ('K5622', 23241321)
(h, sum) 	 ('K6J87', 23432251)
(h, sum) 	 ('K6J9Q', 23520991)
(h, sum) 	 ('K9K74', 23601732)
(h, sum) 	 ('KT3K6', 23792076)
(h, sum) 	 ('KQJ68', 23979330)
(h, sum) 	 ('KQ4AK', 24097130)
(h, sum) 	 ('KQ977', 24347796)
(h, sum) 	 ('KK3Q4', 24534372)
(h, sum) 	 ('KK7A8', 24556595)
(h, sum) 	 ('KKAT3', 24851127)
(h, sum) 	 ('KA662', 25151007)
(h, sum) 	 ('KA7A6', 25404755)
(h, sum) 	 ('KAT4K', 25556915)
(h, sum) 	 ('AJ239', 25822445)
(h, sum) 	 ('AJ43Q', 25868062)
(h, sum) 	 ('AJ695', 26109662)
(h, sum) 	 ('AJQ58', 26152997)
(h, sum) 	 ('A2955', 26228023)
(h, sum) 	 ('A2972', 26496113)
(h, sum) 	 ('A2TJ5', 26631869)
(h, sum) 	 ('A37JK', 26653969)
(h, sum) 	 ('A3TJ6', 26720473)
(h, sum) 	 ('A4K5K', 26779006)
(h, sum) 	 ('A554K', 26916766)
(h, sum) 	 ('A59JK', 27203654)
(h, sum) 	 ('A6388', 27242594)
(h, sum) 	 ('A6456', 27492168)
(h, sum) 	 ('A6Q22', 27579152)
(h, sum) 	 ('A8TT4', 27754310)
(h, sum) 	 ('A8QAK', 28056246)
(h, sum) 	 ('A9445', 28170816)
(h, sum) 	 ('AT4J3', 28458768)
(h, sum) 	 ('AT474', 28464834)
(h, sum) 	 ('AA38Q', 28551024)
(h, sum) 	 ('AA54K', 28817817)
(h, sum) 	 ('225K5', 29132997)
(h, sum) 	 ('22775', 29395908)
(h, sum) 	 ('22886', 29625732)
(h, sum) 	 ('22Q6Q', 29744067)
(h, sum) 	 ('22A77', 30054699)
(h, sum) 	 ('23243', 30388314)
(h, sum) 	 ('252AA', 30475506)
(h, sum) 	 ('25442', 30684400)
(h, sum) 	 ('26299', 30859444)
(h, sum) 	 ('28Q28', 31082455)
(h, sum) 	 ('2T28T', 31148255)
(h, sum) 	 ('2QKK2', 31399571)
(h, sum) 	 ('323K2', 31482643)
(h, sum) 	 ('323KK', 31666909)
(h, sum) 	 ('32636', 31715407)
(h, sum) 	 ('35959', 32034552)
(h, sum) 	 ('3Q23Q', 32080120)
(h, sum) 	 ('4224T', 32154733)
(h, sum) 	 ('443KK', 32503783)
(h, sum) 	 ('44996', 32811805)
(h, sum) 	 ('44AA3', 33086485)
(h, sum) 	 ('45452', 33445680)
(h, sum) 	 ('45588', 33743244)
(h, sum) 	 ('46747', 33890985)
(h, sum) 	 ('4848Q', 34090821)
(h, sum) 	 ('4TT43', 34273686)
(h, sum) 	 ('4TT46', 34599792)
(h, sum) 	 ('4Q2Q4', 34864766)
(h, sum) 	 ('4QQ74', 34896782)
(h, sum) 	 ('55223', 34990508)
(h, sum) 	 ('56464', 35295388)
(h, sum) 	 ('5T53T', 35355861)
(h, sum) 	 ('5T7T5', 35369625)
(h, sum) 	 ('5Q44Q', 35442733)
(h, sum) 	 ('5A4A4', 35812245)
(h, sum) 	 ('62426', 35937120)
(h, sum) 	 ('65635', 35954040)
(h, sum) 	 ('66944', 35972136)
(h, sum) 	 ('66QQ8', 36248076)
(h, sum) 	 ('6QAQA', 36453494)
(h, sum) 	 ('6KK46', 36800054)
(h, sum) 	 ('74433', 36895685)
(h, sum) 	 ('77224', 37128323)
(h, sum) 	 ('775QQ', 37235563)
(h, sum) 	 ('77AAK', 37411435)
(h, sum) 	 ('79796', 37450705)
(h, sum) 	 ('79QQ9', 37465759)
(h, sum) 	 ('7T73T', 37666612)
(h, sum) 	 ('7KQKQ', 38032884)
(h, sum) 	 ('833AA', 38162032)
(h, sum) 	 ('8686A', 38214292)
(h, sum) 	 ('877KK', 38249091)
(h, sum) 	 ('88442', 38311811)
(h, sum) 	 ('88699', 38574335)
(h, sum) 	 ('88A6A', 38923813)
(h, sum) 	 ('8TT55', 39184513)
(h, sum) 	 ('8ATAT', 39189265)
(h, sum) 	 ('8AA82', 39224201)
(h, sum) 	 ('93696', 39432355)
(h, sum) 	 ('94889', 39646618)
(h, sum) 	 ('94977', 39997018)
(h, sum) 	 ('9696T', 40144185)
(h, sum) 	 ('96K69', 40483071)
(h, sum) 	 ('979KK', 40626136)
(h, sum) 	 ('99373', 40632600)
(h, sum) 	 ('996AA', 40895850)
(h, sum) 	 ('99Q44', 40963652)
(h, sum) 	 ('T2299', 40979932)
(h, sum) 	 ('T22T4', 41263492)
(h, sum) 	 ('T322T', 41494986)
(h, sum) 	 ('T5KTK', 41654066)
(h, sum) 	 ('T6QT6', 41892857)
(h, sum) 	 ('T7TKK', 42008629)
(h, sum) 	 ('T8282', 42068101)
(h, sum) 	 ('T885T', 42352933)
(h, sum) 	 ('TTA6A', 42695308)
(h, sum) 	 ('TQ8T8', 42720268)
(h, sum) 	 ('TA9AT', 43092232)
(h, sum) 	 ('Q272Q', 43222648)
(h, sum) 	 ('Q33KK', 43344577)
(h, sum) 	 ('QQ3A3', 43705357)
(h, sum) 	 ('QQ464', 43734406)
(h, sum) 	 ('QQ99T', 44037824)
(h, sum) 	 ('QQAA4', 44141882)
(h, sum) 	 ('QKQ8K', 44434442)
(h, sum) 	 ('QKKQ9', 44510092)
(h, sum) 	 ('QAQ99', 44846206)
(h, sum) 	 ('K22K3', 45172861)
(h, sum) 	 ('K4334', 45472461)
(h, sum) 	 ('K44KT', 45655644)
(h, sum) 	 ('K4TT4', 45807864)
(h, sum) 	 ('K5KAA', 45924234)
(h, sum) 	 ('K7676', 46041738)
(h, sum) 	 ('K7788', 46211474)
(h, sum) 	 ('K7K47', 46490970)
(h, sum) 	 ('KTKTQ', 46686720)
(h, sum) 	 ('KTATA', 46757352)
(h, sum) 	 ('KQQ6K', 46768714)
(h, sum) 	 ('KK55A', 46985086)
(h, sum) 	 ('KA88A', 47012304)
(h, sum) 	 ('A2255', 47445704)
(h, sum) 	 ('A2288', 47475251)
(h, sum) 	 ('A433A', 47778021)
(h, sum) 	 ('A6Q6Q', 47876810)
(h, sum) 	 ('A73A3', 48174290)
(h, sum) 	 ('A9559', 48567225)
(h, sum) 	 ('AT7T7', 48584173)
(h, sum) 	 ('AQKQA', 48686536)
(h, sum) 	 ('AA545', 48848264)
(h, sum) 	 ('AA955', 49257303)
(h, sum) 	 ('J2452', 49580403)
(h, sum) 	 ('J2529', 49839728)
(h, sum) 	 ('J2577', 50043580)
(h, sum) 	 ('J3437', 50282311)
(h, sum) 	 ('J3563', 50716335)
(h, sum) 	 ('J3TJ4', 51027100)
(h, sum) 	 ('J5TKT', 51250540)
(h, sum) 	 ('J6T62', 51631221)
(h, sum) 	 ('J7882', 51834573)
(h, sum) 	 ('JT779', 52118694)
(h, sum) 	 ('JQK7Q', 52222654)
(h, sum) 	 ('JK979', 52457764)
(h, sum) 	 ('JKTT3', 52843072)
(h, sum) 	 ('JA5KK', 53138466)
(h, sum) 	 ('2J993', 53244258)
(h, sum) 	 ('2JKJ5', 53613933)
(h, sum) 	 ('226Q2', 53666591)
(h, sum) 	 ('22A24', 53709088)
(h, sum) 	 ('24443', 53860720)
(h, sum) 	 ('2666T', 54051134)
(h, sum) 	 ('28J25', 54165814)
(h, sum) 	 ('28838', 54355156)
(h, sum) 	 ('29J27', 54645908)
(h, sum) 	 ('29J28', 54916464)
(h, sum) 	 ('29499', 55122180)
(h, sum) 	 ('2T3TJ', 55395780)
(h, sum) 	 ('2QJ8J', 55527156)
(h, sum) 	 ('2Q72J', 55877274)
(h, sum) 	 ('2K24J', 56231950)
(h, sum) 	 ('2A22K', 56508812)
(h, sum) 	 ('2A822', 56781932)
(h, sum) 	 ('3J566', 57240325)
(h, sum) 	 ('33379', 57397939)
(h, sum) 	 ('35323', 57760672)
(h, sum) 	 ('35373', 57866184)
(h, sum) 	 ('355JA', 58340514)
(h, sum) 	 ('35999', 58375992)
(h, sum) 	 ('37233', 58395959)
(h, sum) 	 ('39JJT', 58765375)
(h, sum) 	 ('3983J', 58827478)
(h, sum) 	 ('3T777', 59184198)
(h, sum) 	 ('3Q334', 59659977)
(h, sum) 	 ('3Q339', 59770677)
(h, sum) 	 ('3QQ8Q', 60191699)
(h, sum) 	 ('3A393', 60662975)
(h, sum) 	 ('3A433', 60986705)
(h, sum) 	 ('3A999', 61121121)
(h, sum) 	 ('4J34A', 61502320)
(h, sum) 	 ('4J548', 61920142)
(h, sum) 	 ('4J8KK', 61930122)
(h, sum) 	 ('4JAA3', 62024622)
(h, sum) 	 ('44489', 62495061)
(h, sum) 	 ('444T3', 62801783)
(h, sum) 	 ('44654', 63097044)
(h, sum) 	 ('464J5', 63181716)
(h, sum) 	 ('46484', 63258981)
(h, sum) 	 ('46494', 63537787)
(h, sum) 	 ('47442', 63787231)
(h, sum) 	 ('47AAA', 63895943)
(h, sum) 	 ('48544', 64334701)
(h, sum) 	 ('48887', 64602451)
(h, sum) 	 ('488Q8', 64753196)
(h, sum) 	 ('4999A', 64791084)
(h, sum) 	 ('49QQQ', 65128125)
(h, sum) 	 ('4TTJ6', 65525447)
(h, sum) 	 ('4Q6QQ', 66033237)
(h, sum) 	 ('4ATAA', 66322713)
(h, sum) 	 ('4AA2A', 66612233)
(h, sum) 	 ('5J5T8', 66955149)
(h, sum) 	 ('5JT22', 67341804)
(h, sum) 	 ('5JA88', 67384964)
(h, sum) 	 ('53JQ3', 67715799)
(h, sum) 	 ('53AAJ', 68033175)
(h, sum) 	 ('55475', 68418626)
(h, sum) 	 ('55524', 68595738)
(h, sum) 	 ('5667J', 69087138)
(h, sum) 	 ('57855', 69578422)
(h, sum) 	 ('57A55', 69787114)
(h, sum) 	 ('58898', 70120282)
(h, sum) 	 ('59535', 70512271)
(h, sum) 	 ('5T565', 70591771)
(h, sum) 	 ('5KKK9', 70634251)
(h, sum) 	 ('6J638', 71010907)
(h, sum) 	 ('6J822', 71399464)
(h, sum) 	 ('6J86Q', 71484370)
(h, sum) 	 ('6JT7T', 71972825)
(h, sum) 	 ('62KKK', 72014097)
(h, sum) 	 ('633T3', 72272394)
(h, sum) 	 ('636Q6', 72444016)
(h, sum) 	 ('64JQ6', 72793288)
(h, sum) 	 ('65696', 73302508)
(h, sum) 	 ('66JK9', 73432348)
(h, sum) 	 ('66367', 73892506)
(h, sum) 	 ('6646Q', 74351884)
(h, sum) 	 ('666T8', 74741932)
(h, sum) 	 ('66Q86', 74929412)
(h, sum) 	 ('66K69', 75020048)
(h, sum) 	 ('6777Q', 75538604)
(h, sum) 	 ('69JJ7', 75792876)
(h, sum) 	 ('6TJA6', 76091532)
(h, sum) 	 ('6TK66', 76256532)
(h, sum) 	 ('6QQQK', 76616335)
(h, sum) 	 ('6KJTJ', 77064559)
(h, sum) 	 ('6K5J6', 77206680)
(h, sum) 	 ('6AJ55', 77285348)
(h, sum) 	 ('6A665', 77765978)
(h, sum) 	 ('72977', 77913874)
(h, sum) 	 ('72Q77', 77965675)
(h, sum) 	 ('72QQQ', 78452809)
(h, sum) 	 ('7333K', 78611006)
(h, sum) 	 ('73383', 78849566)
(h, sum) 	 ('73A33', 79161482)
(h, sum) 	 ('74J4K', 79169350)
(h, sum) 	 ('74776', 79665916)
(h, sum) 	 ('74QQQ', 79788304)
(h, sum) 	 ('75J8J', 80218269)
(h, sum) 	 ('763J3', 80412407)
(h, sum) 	 ('76333', 80926676)
(h, sum) 	 ('76566', 80978932)
(h, sum) 	 ('773A7', 81442098)
(h, sum) 	 ('77578', 81533868)
(h, sum) 	 ('77579', 81766836)
(h, sum) 	 ('777AQ', 82203844)
(h, sum) 	 ('77867', 82637032)
(h, sum) 	 ('77K37', 83094510)
(h, sum) 	 ('77KQ7', 83376835)
(h, sum) 	 ('78J57', 83795011)
(h, sum) 	 ('783J7', 83805974)
(h, sum) 	 ('78688', 84370102)
(h, sum) 	 ('787K7', 84539749)
(h, sum) 	 ('78Q77', 84932989)
(h, sum) 	 ('7T5TT', 85175266)
(h, sum) 	 ('7KJK8', 85391770)
(h, sum) 	 ('7A774', 85910057)
(h, sum) 	 ('8J99A', 86210817)
(h, sum) 	 ('82Q2J', 86670042)
(h, sum) 	 ('84JJ6', 87011680)
(h, sum) 	 ('84J66', 87373859)
(h, sum) 	 ('8444Q', 87666095)
(h, sum) 	 ('85688', 87896394)
(h, sum) 	 ('885QJ', 88000824)
(h, sum) 	 ('88846', 88281549)
(h, sum) 	 ('88894', 88796589)
(h, sum) 	 ('88K68', 89011255)
(h, sum) 	 ('89J77', 89350429)
(h, sum) 	 ('8Q828', 89605089)
(h, sum) 	 ('8QK88', 90178441)
(h, sum) 	 ('8K4J4', 90238141)
(h, sum) 	 ('8KKTK', 90239337)
(h, sum) 	 ('8AQQJ', 90700567)
(h, sum) 	 ('929J4', 91216567)
(h, sum) 	 ('94TTT', 91798335)
(h, sum) 	 ('96J9Q', 92080673)
(h, sum) 	 ('98959', 92636639)
(h, sum) 	 ('996K9', 92937431)
(h, sum) 	 ('999KQ', 93217546)
(h, sum) 	 ('999A8', 93483580)
(h, sum) 	 ('9TJK9', 93928511)
(h, sum) 	 ('9T994', 94192991)
(h, sum) 	 ('9TT2T', 94281296)
(h, sum) 	 ('9Q99T', 94884586)
(h, sum) 	 ('9QQ5Q', 95136929)
(h, sum) 	 ('9ATTT', 95467409)
(h, sum) 	 ('9AA6J', 95483960)
(h, sum) 	 ('T3733', 96066646)
(h, sum) 	 ('T4KJK', 96448561)
(h, sum) 	 ('T6TT8', 96903785)
(h, sum) 	 ('T7JQT', 97376407)
(h, sum) 	 ('T757J', 97448713)
(h, sum) 	 ('T9TT5', 97872109)
(h, sum) 	 ('TT3J9', 98057489)
(h, sum) 	 ('TT37T', 98115863)
(h, sum) 	 ('TT8T9', 98293755)
(h, sum) 	 ('TTKT3', 98915509)
(h, sum) 	 ('TQAJJ', 99409717)
(h, sum) 	 ('TKJ9K', 99504092)
(h, sum) 	 ('TK999', 99619902)
(h, sum) 	 ('TAAA2', 99937164)
(h, sum) 	 ('QJ599', 99990544)
(h, sum) 	 ('QJ64Q', 100327688)
(h, sum) 	 ('QJQ5A', 100425968)
(h, sum) 	 ('Q3TQQ', 100834225)
(h, sum) 	 ('Q4454', 101464329)
(h, sum) 	 ('Q4999', 102005544)
(h, sum) 	 ('Q5585', 102372630)
(h, sum) 	 ('Q5777', 102662825)
(h, sum) 	 ('Q5KQQ', 103093397)
(h, sum) 	 ('Q6Q7Q', 103439288)
(h, sum) 	 ('Q77JA', 104071546)
(h, sum) 	 ('Q7QQK', 104226823)
(h, sum) 	 ('Q883J', 104557703)
(h, sum) 	 ('Q8AQQ', 104817308)
